timestamp,symbol,order_id,side,qty,price,type,bid,ask,best_bid,best_ask,exit_price,realized_pnl,realized_total,trades_count,winrate,reason,score,delta_score,spread,mid_price,imbalance
2026-03-25T15:06:20.219445+00:00,SRM6,,,,,MD_SNAPSHOT,32736.0,32740.0,,,,,,,,,,,4.0,32738.0,
2026-03-25T15:06:20.219445+00:00,SRM6,,,,,MD_UPDATE,32736.0,32740.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:20.233443+00:00,SRM6,,SHORT,,,ENTRY_DECISION,32736.0,32740.0,,,,,,,,score_pass,0.858,1.000,4.0,32738.0,-0.499999999999875
2026-03-25T15:06:20.234443+00:00,SRM6,M2603251506200001,2,1.0,32736.0,ORDER_CREATED,32736.0,32740.0,,,,,,,,,,,4.0,32738.0,-0.499999999999875
2026-03-25T15:06:20.234443+00:00,SRM6,M2603251506200001,2,1.0000,32736.0000,TRADE_FILLED,32736.0,32740.0,32736.0000,32740.0000,,,,,,,,,4.0,32738.0,-0.499999999999875
2026-03-25T15:06:20.234443+00:00,SRM6,M2603251506200001,2,1.0,32736.0,SIM_ACCEPT,32736.0,32740.0,,,,,,,,,,,4.0,32738.0,-0.499999999999875
2026-03-25T15:06:20.234443+00:00,SRM6,M2603251506200001,2,1.0,32736.0000,ENTRY_EXECUTE,32736.0,32740.0,,,,,,,,,,,4.0,32738.0,-0.499999999999875
2026-03-25T15:06:21.709695+00:00,SRM6,,,,,MD_UPDATE,32736.0,32740.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:21.808668+00:00,SRM6,,,,,MD_UPDATE,32736.0,32740.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:21.952579+00:00,SRM6,,,,,MD_UPDATE,32736.0,32740.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:24.115239+00:00,SRM6,,,,,MD_UPDATE,32736.0,32740.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:24.670698+00:00,SRM6,,,,,MD_UPDATE,32736.0,32740.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:25.083066+00:00,SRM6,,,,,MD_UPDATE,32736.0,32740.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:25.697725+00:00,SRM6,,,,,MD_SNAPSHOT,32736.0,32740.0,,,,,,,,,,,4.0,32738.0,
2026-03-25T15:06:25.698697+00:00,SRM6,,,,,MD_UPDATE,32736.0,32740.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:26.874971+00:00,SRM6,,,,,MD_UPDATE,32736.0,32739.0,,,,,,,,,,,3.0,,-0.33333333333322224
2026-03-25T15:06:27.022969+00:00,SRM6,,,,,MD_UPDATE,32736.0,32739.0,,,,,,,,,,,3.0,,-0.33333333333322224
2026-03-25T15:06:31.031693+00:00,SRM6,,,,,MD_SNAPSHOT,32736.0,32739.0,,,,,,,,,,,3.0,32737.5,
2026-03-25T15:06:31.031693+00:00,SRM6,,,,,MD_UPDATE,32736.0,32739.0,,,,,,,,,,,3.0,,-0.33333333333322224
2026-03-25T15:06:31.538900+00:00,SRM6,,,,,MD_UPDATE,32736.0,32739.0,,,,,,,,,,,3.0,,-0.33333333333322224
2026-03-25T15:06:31.645871+00:00,SRM6,,,,,MD_UPDATE,32736.0,32739.0,,,,,,,,,,,3.0,,-0.6666666666665555
2026-03-25T15:06:31.798874+00:00,SRM6,,,,,MD_UPDATE,32736.0,32738.0,,,,,,,,,,,2.0,,0.0
2026-03-25T15:06:31.798874+00:00,SRM6,M2603251506310002,1,1.0,32738.0,ORDER_CREATED,32736.0,32738.0,,,,,,,,,,,2.0,32737.5,0.0
2026-03-25T15:06:31.798874+00:00,SRM6,M2603251506200001,1,1.0000,,TRADE_CLOSE,32736.0,32738.0,,,32738.0000,-2.0000,-2.0000,1,0.00%,,,,2.0,32737.5,0.0
2026-03-25T15:06:31.798874+00:00,SRM6,M2603251506310002,1,1.0000,32738.0000,TRADE_FILLED,32736.0,32738.0,32736.0000,32738.0000,,,,,,,,,2.0,32737.5,0.0
2026-03-25T15:06:31.798874+00:00,SRM6,M2603251506310002,1,1.0,32738.0,SIM_ACCEPT,32736.0,32738.0,,,,,,,,,,,2.0,32737.5,0.0
2026-03-25T15:06:31.799872+00:00,SRM6,M2603251506310002,1,1.0000,32738.0000,EXIT,32736.0,32738.0,,,,,,,,score_below_exit_threshold,,,2.0,32737.5,0.0
2026-03-25T15:06:31.952873+00:00,SRM6,,,,,MD_UPDATE,32736.0,32738.0,,,,,,,,,,,2.0,,0.0
2026-03-25T15:06:31.967871+00:00,SRM6,,,,,MD_UPDATE,32738.0,32738.0,,,,,,,,,,,0.0,,0.0
2026-03-25T15:06:32.103935+00:00,SRM6,,,,,MD_UPDATE,32736.0,32739.0,,,,,,,,,,,3.0,,-0.499999999999875
2026-03-25T15:06:32.415446+00:00,SRM6,,,,,MD_UPDATE,32736.0,32739.0,,,,,,,,,,,3.0,,-0.499999999999875
2026-03-25T15:06:33.286537+00:00,SRM6,,,,,MD_UPDATE,32735.0,32739.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:33.294970+00:00,SRM6,,SHORT,,,ENTRY_DECISION,32735.0,32739.0,,,,,,,,score_pass,0.858,1.000,4.0,32737.5,-0.499999999999875
2026-03-25T15:06:33.294970+00:00,SRM6,M2603251506330003,2,1.0,32735.0,ORDER_CREATED,32735.0,32739.0,,,,,,,,,,,4.0,32737.5,-0.499999999999875
2026-03-25T15:06:33.295971+00:00,SRM6,M2603251506330003,2,1.0000,32735.0000,TRADE_FILLED,32735.0,32739.0,32735.0000,32739.0000,,,,,,,,,4.0,32737.5,-0.499999999999875
2026-03-25T15:06:33.295971+00:00,SRM6,M2603251506330003,2,1.0,32735.0,SIM_ACCEPT,32735.0,32739.0,,,,,,,,,,,4.0,32737.5,-0.499999999999875
2026-03-25T15:06:33.295971+00:00,SRM6,M2603251506330003,2,1.0,32735.0000,ENTRY_EXECUTE,32735.0,32739.0,,,,,,,,,,,4.0,32737.5,-0.499999999999875
2026-03-25T15:06:33.432971+00:00,SRM6,,,,,MD_UPDATE,32735.0,32739.0,,,,,,,,,,,4.0,,-0.499999999999875
2026-03-25T15:06:33.742672+00:00,SRM6,,,,,MD_UPDATE,32735.0,32738.0,,,,,,,,,,,3.0,,0.0
2026-03-25T15:06:33.742672+00:00,SRM6,M2603251506330004,1,1.0,32738.0,ORDER_CREATED,32735.0,32738.0,,,,,,,,,,,3.0,32737.5,0.0
2026-03-25T15:06:33.742672+00:00,SRM6,M2603251506330003,1,1.0000,,TRADE_CLOSE,32735.0,32738.0,,,32738.0000,-3.0000,-5.0000,2,0.00%,,,,3.0,32737.5,0.0
2026-03-25T15:06:33.742672+00:00,SRM6,M2603251506330004,1,1.0000,32738.0000,TRADE_FILLED,32735.0,32738.0,32735.0000,32738.0000,,,,,,,,,3.0,32737.5,0.0
2026-03-25T15:06:33.742672+00:00,SRM6,M2603251506330004,1,1.0,32738.0,SIM_ACCEPT,32735.0,32738.0,,,,,,,,,,,3.0,32737.5,0.0
2026-03-25T15:06:33.742672+00:00,SRM6,M2603251506330004,1,1.0000,32738.0000,EXIT,32735.0,32738.0,,,,,,,,score_below_exit_threshold,,,3.0,32737.5,0.0
2026-03-25T15:06:35.187765+00:00,SRM6,,,,,MD_UPDATE,32735.0,32738.0,,,,,,,,,,,3.0,,0.0
2026-03-25T15:06:35.209735+00:00,SRM6,,NONE,,,ENTRY_DECISION,32735.0,32738.0,,,,,,,,score_below_threshold,-0.106,0.000,3.0,32737.5,0.0
2026-03-25T15:06:37.589123+00:00,SRM6,,,,,MD_SNAPSHOT,32735.0,32738.0,,,,,,,,,,,3.0,32736.5,
2026-03-25T15:06:37.589123+00:00,SRM6,,,,,MD_UPDATE,32735.0,32738.0,,,,,,,,,,,3.0,,0.0
2026-03-25T15:06:37.604121+00:00,SRM6,,NONE,,,ENTRY_DECISION,32735.0,32738.0,,,,,,,,score_below_threshold,-0.106,0.000,3.0,32736.5,0.0
2026-03-25T15:06:38.814951+00:00,SRM6,,,,,MD_UPDATE,32735.0,32738.0,,,,,,,,,,,3.0,,0.0
2026-03-25T15:06:38.839916+00:00,SRM6,,NONE,,,ENTRY_DECISION,32735.0,32738.0,,,,,,,,score_below_threshold,-0.106,0.000,3.0,32736.5,0.0
2026-03-25T15:06:42.101051+00:00,SRM6,,,,,MD_UPDATE,32735.0,32738.0,,,,,,,,,,,3.0,,0.0
2026-03-25T15:06:42.110025+00:00,SRM6,,NONE,,,ENTRY_DECISION,32735.0,32738.0,,,,,,,,score_below_threshold,-0.106,0.000,3.0,32736.5,0.0
2026-03-25T15:06:42.978061+00:00,SRM6,,,,,MD_SNAPSHOT,32735.0,32738.0,,,,,,,,,,,3.0,32736.5,
2026-03-25T15:06:42.978061+00:00,SRM6,,,,,MD_UPDATE,32735.0,32738.0,,,,,,,,,,,3.0,,0.0
2026-03-25T15:06:42.978061+00:00,SRM6,,NONE,,,ENTRY_DECISION,32735.0,32738.0,,,,,,,,score_below_threshold,-0.106,0.000,3.0,32736.5,0.0
2026-03-25T15:06:43.133653+00:00,SRM6,,,,,MD_UPDATE,32735.0,32738.0,,,,,,,,,,,3.0,,-0.499999999999875
2026-03-25T15:06:43.135653+00:00,SRM6,,SHORT,,,ENTRY_DECISION,32735.0,32738.0,,,,,,,,score_pass,0.894,1.000,3.0,32736.5,-0.499999999999875
2026-03-25T15:06:43.135653+00:00,SRM6,M2603251506430005,2,1.0,32735.0,ORDER_CREATED,32735.0,32738.0,,,,,,,,,,,3.0,32736.5,-0.499999999999875
2026-03-25T15:06:43.135653+00:00,SRM6,M2603251506430005,2,1.0000,32735.0000,TRADE_FILLED,32735.0,32738.0,32735.0000,32738.0000,,,,,,,,,3.0,32736.5,-0.499999999999875
2026-03-25T15:06:43.136679+00:00,SRM6,M2603251506430005,2,1.0,32735.0,SIM_ACCEPT,32735.0,32738.0,,,,,,,,,,,3.0,32736.5,-0.499999999999875
2026-03-25T15:06:43.136679+00:00,SRM6,M2603251506430005,2,1.0,32735.0000,ENTRY_EXECUTE,32735.0,32738.0,,,,,,,,,,,3.0,32736.5,-0.499999999999875
2026-03-25T15:06:43.382154+00:00,SRM6,,,,,MD_UPDATE,32733.0,32738.0,,,,,,,,,,,5.0,,0.3333333333332963
2026-03-25T15:06:43.533155+00:00,SRM6,,,,,MD_UPDATE,32733.0,32738.0,,,,,,,,,,,5.0,,0.3333333333332963
2026-03-25T15:06:45.692733+00:00,SRM6,,,,,MD_UPDATE,32733.0,32738.0,,,,,,,,,,,5.0,,0.3333333333332963
2026-03-25T15:06:45.852827+00:00,SRM6,,,,,MD_UPDATE,32733.0,32738.0,,,,,,,,,,,5.0,,0.3333333333332963
2026-03-25T15:06:46.259838+00:00,SRM6,,,,,MD_UPDATE,32733.0,32738.0,,,,,,,,,,,5.0,,0.3333333333332963
2026-03-25T15:06:48.054167+00:00,SRM6,,,,,MD_SNAPSHOT,32733.0,32737.0,,,,,,,,,,,4.0,32735.0,
2026-03-25T15:06:48.054167+00:00,SRM6,,,,,MD_UPDATE,32733.0,32737.0,,,,,,,,,,,4.0,,0.7777777777776913
2026-03-25T15:06:48.228920+00:00,SRM6,,,,,MD_UPDATE,32733.0,32737.0,,,,,,,,,,,4.0,,0.7777777777776913
2026-03-25T15:06:48.331351+00:00,SRM6,,,,,MD_UPDATE,32733.0,32737.0,,,,,,,,,,,4.0,,0.3333333333332963
2026-03-25T15:06:48.465379+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.4999999999999375
2026-03-25T15:06:48.627204+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.59999999999994
2026-03-25T15:06:48.724091+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.692307692307639
2026-03-25T15:06:51.814344+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.692307692307639
2026-03-25T15:06:52.180426+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.692307692307639
2026-03-25T15:06:52.453309+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.692307692307639
2026-03-25T15:06:52.598648+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.4999999999999375
2026-03-25T15:06:52.806864+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.4999999999999375
2026-03-25T15:06:53.110195+00:00,SRM6,,,,,MD_SNAPSHOT,32732.0,32735.0,,,,,,,,,,,3.0,32733.5,
2026-03-25T15:06:53.110195+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.4999999999999375
2026-03-25T15:06:53.262064+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.4999999999999375
2026-03-25T15:06:53.373271+00:00,SRM6,,,,,MD_UPDATE,32732.0,32735.0,,,,,,,,,,,3.0,,0.4999999999999375
2026-03-25T15:06:54.192996+00:00,SRM6,,,,,MD_UPDATE,32731.0,32735.0,,,,,,,,,,,4.0,,0.0
2026-03-25T15:06:54.219114+00:00,SRM6,M2603251506540006,1,1.0,32735.0,ORDER_CREATED,32731.0,32735.0,,,,,,,,,,,4.0,32733.5,0.0
2026-03-25T15:06:54.219114+00:00,SRM6,M2603251506430005,1,1.0000,,TRADE_CLOSE,32731.0,32735.0,,,32735.0000,-0.0000,-5.0000,3,0.00%,,,,4.0,32733.5,0.0
2026-03-25T15:06:54.219114+00:00,SRM6,M2603251506540006,1,1.0000,32735.0000,TRADE_FILLED,32731.0,32735.0,32731.0000,32735.0000,,,,,,,,,4.0,32733.5,0.0
2026-03-25T15:06:54.219114+00:00,SRM6,M2603251506540006,1,1.0,32735.0,SIM_ACCEPT,32731.0,32735.0,,,,,,,,,,,4.0,32733.5,0.0
2026-03-25T15:06:54.219114+00:00,SRM6,M2603251506540006,1,1.0000,32735.0000,EXIT,32731.0,32735.0,,,,,,,,score_below_exit_threshold,,,4.0,32733.5,0.0
2026-03-25T15:06:54.296919+00:00,SRM6,,,,,MD_UPDATE,32731.0,32735.0,,,,,,,,,,,4.0,,0.0
2026-03-25T15:06:54.398104+00:00,SRM6,,,,,MD_UPDATE,32731.0,32735.0,,,,,,,,,,,4.0,,0.0
2026-03-25T15:06:54.498728+00:00,SRM6,,,,,MD_UPDATE,32731.0,32735.0,,,,,,,,,,,4.0,,0.0
2026-03-25T15:06:54.958478+00:00,SRM6,,,,,MD_UPDATE,32731.0,32735.0,,,,,,,,,,,4.0,,0.0
2026-03-25T15:06:56.714276+00:00,SRM6,,,,,MD_UPDATE,32731.0,32735.0,,,,,,,,,,,4.0,,0.0
2026-03-25T15:06:56.728269+00:00,SRM6,,NONE,,,ENTRY_DECISION,32731.0,32735.0,,,,,,,,score_below_threshold,-0.142,0.000,4.0,32733.5,0.0
2026-03-25T15:06:56.861894+00:00,SRM6,,,,,MD_UPDATE,32731.0,32735.0,,,,,,,,,,,4.0,,0.0
2026-03-25T15:06:56.861894+00:00,SRM6,,NONE,,,ENTRY_DECISION,32731.0,32735.0,,,,,,,,score_below_threshold,-0.142,0.000,4.0,32733.5,0.0
2026-03-25T15:06:59.121797+00:00,SRM6,,,,,MD_SNAPSHOT,32733.0,32734.0,,,,,,,,,,,1.0,32733.5,
2026-03-25T15:06:59.121797+00:00,SRM6,,,,,MD_UPDATE,32733.0,32734.0,,,,,,,,,,,1.0,,-0.4285714285713673
2026-03-25T15:06:59.129803+00:00,SRM6,,SHORT,,,ENTRY_DECISION,32733.0,32734.0,,,,,,,,score_pass,0.965,1.000,1.0,32733.5,-0.4285714285713673
2026-03-25T15:06:59.129803+00:00,SRM6,M2603251506590007,2,1.0,32733.0,ORDER_CREATED,32733.0,32734.0,,,,,,,,,,,1.0,32733.5,-0.4285714285713673
2026-03-25T15:06:59.129803+00:00,SRM6,M2603251506590007,2,1.0000,32733.0000,TRADE_FILLED,32733.0,32734.0,32733.0000,32734.0000,,,,,,,,,1.0,32733.5,-0.4285714285713673
2026-03-25T15:06:59.129803+00:00,SRM6,M2603251506590007,2,1.0,32733.0,SIM_ACCEPT,32733.0,32734.0,,,,,,,,,,,1.0,32733.5,-0.4285714285713673
2026-03-25T15:06:59.129803+00:00,SRM6,M2603251506590007,2,1.0,32733.0000,ENTRY_EXECUTE,32733.0,32734.0,,,,,,,,,,,1.0,32733.5,-0.4285714285713673
2026-03-25T15:06:59.226064+00:00,SRM6,,,,,MD_UPDATE,32733.0,32734.0,,,,,,,,,,,1.0,,-0.4285714285713673
2026-03-25T15:06:59.330248+00:00,SRM6,,,,,MD_UPDATE,32733.0,32734.0,,,,,,,,,,,1.0,,-0.5555555555554939
2026-03-25T15:06:59.637204+00:00,SRM6,,,,,MD_UPDATE,32733.0,32733.0,,,,,,,,,,,0.0,,0.0
2026-03-25T15:06:59.638172+00:00,SRM6,M2603251506590008,1,1.0,32733.0,ORDER_CREATED,32733.0,32733.0,,,,,,,,,,,0.0,32733.5,0.0
2026-03-25T15:06:59.638172+00:00,SRM6,M2603251506590007,1,1.0000,,TRADE_CLOSE,32733.0,32733.0,,,32733.0000,-0.0000,-5.0000,4,0.00%,,,,0.0,32733.5,0.0
